2024-05-05 13:19:26,320 - root - Ep. Num.: 140, Ep. Score: -24.0, Avg. Score: -23.5
2024-05-05 13:19:34,558 - root - Ep. Num.: 141, Ep. Score: -24.0, Avg. Score: -23.5
2024-05-05 13:19:47,571 - root - Ep. Num.: 142, Ep. Score: -24.0, Avg. Score: -23.5
2024-05-05 13:20:08,976 - root - Ep. Num.: 143, Ep. Score: -24.0, Avg. Score: -23.5
2024-05-05 13:20:27,236 - root - Ep. Num.: 144, Ep. Score: -24.0, Avg. Score: -23.5
2024-05-05 13:21:34,620 - root - Ep. Num.: 145, Ep. Score: -24.0, Avg. Score: -23.5
2024-05-05 13:21:45,015 - root - Ep. Num.: 146, Ep. Score: -23.0, Avg. Score: -23.4
2024-05-05 13:21:58,229 - root - Ep. Num.: 147, Ep. Score: -24.0, Avg. Score: -23.4
2024-05-05 13:22:09,101 - root - Ep. Num.: 148, Ep. Score: -24.0, Avg. Score: -23.9
2024-05-05 13:22:41,604 - root - Ep. Num.: 149, Ep. Score: -24.0, Avg. Score: -23.9
2024-05-05 13:25:14,330 - root - Ep. Num.: 150, Ep. Score: -24.0, Avg. Score: -23.9
2024-05-05 13:25:24,216 - root - Ep. Num.: 151, Ep. Score: -24.0, Avg. Score: -23.9
2024-05-05 13:25:48,980 - root - Ep. Num.: 152, Ep. Score: -23.0, Avg. Score: -23.8
2024-05-05 13:25:58,793 - root - Ep. Num.: 153, Ep. Score: -23.0, Avg. Score: -23.7
2024-05-05 13:26:20,052 - root - Ep. Num.: 154, Ep. Score: -24.0, Avg. Score: -23.7
2024-05-05 13:26:28,930 - root - Ep. Num.: 155, Ep. Score: -24.0, Avg. Score: -23.7
2024-05-05 13:26:38,763 - root - Ep. Num.: 156, Ep. Score: -24.0, Avg. Score: -23.8
2024-05-05 13:26:50,596 - root - Ep. Num.: 157, Ep. Score: -24.0, Avg. Score: -23.8
2024-05-05 13:27:02,514 - root - Ep. Num.: 158, Ep. Score: -23.0, Avg. Score: -23.7
2024-05-05 13:27:23,127 - root - Ep. Num.: 159, Ep. Score: -24.0, Avg. Score: -23.7
2024-05-05 13:27:42,290 - root - Ep. Num.: 160, Ep. Score: -24.0, Avg. Score: -23.7
2024-05-05 13:30:03,998 - root - Ep. Num.: 161, Ep. Score: -16.0, Avg. Score: -22.9
2024-05-05 13:32:12,936 - root - Ep. Num.: 162, Ep. Score: -24.0, Avg. Score: -23.0
2024-05-05 13:32:19,795 - root - Ep. Num.: 163, Ep. Score: -24.0, Avg. Score: -23.1
